title,author,abstract,discipline,date_of_publication
"Comparison of Viral Load Suppression among HIV-1 Infected Children Aged 5 to 12 Years on Once Daily Versus Twice Daily Abacavir-Containing Regimens at University Teaching Hospitals - Children’s Hospital, Lusaka, Zambia",Mukumbi Mutenda; Derrick Munkombwe; Patrick Kaonga; Mukuka Mwamba,"Abacavir is one of the first-line drugs used to treat HIV infection in paediatric patients in Zambia, whose use in children has not been widely published. This study compared the virologic response of abacavir given as part of a once-daily regimen with the response when given as part of a twice-daily regimen. A total of eighty-two children aged two to twelve years currently receiving antiretroviral therapy at the Paediatric Centre of Excellence, University Teaching Hospitals, Lusaka, Zambia, were observed in the study. This was a prospective cohort study. All the children were initially on twice daily abacavir containing regimen with lamivudine twice daily and efavirenz once daily, with 40 maintained on this regimen by the attending clinician and 42 switched to once-daily abacavir, lamivudine and efavirenz by the attending clinician. Profiles were obtained for each child to compare viral load at baseline and week 24. Data was analysed using Stata Version 16.The proportion of children with undetectable viral load in the once-daily group at twenty-four weeks was 64.3 per cent compared to 72.5 per centin the twice-daily group. Twice-daily dosing reduced the odds of achieving an undetectable viral load by about 59 per cent, while being male reduced the odds of achieving an undetectable HIV viral load by 19.6 per cent. Baseline haemoglobin, creatinine, or alanine transferase levels were not predictors of viral load suppression.The study suggests that once-daily dosing of an abacavir-containing regimen achieved a lower viral suppression rate when compared to twice-daily dosing. It is recommended that once-daily dosing of abacavir containing regimen should be considered as a dosing option for Zambian children living with HIV.",General,6/1/2023
"Knowledge, Attitudes and Practices on Newcastle Disease Prevention in Poultry among Small Scale Poultry Farmers in Lusaka West, Zambia",Chilufya N Muya; Esther Munanjala; Bernadette M Mumba,"Introduction: Newcastle disease is a viral disease caused by virulent Newcastle disease virus (NDV) strains infecting avian species worldwide. Infected birds may show signs of loss of appetite, coughing, gasping, nasal discharge, watery eyes, and nervous signs such as paralysis and convulsions. The disease is spread primarily through direct contact between healthy birds and the bodily discharges of infected birds. The study assessed knowledge, attitudes, and practices on Newcastle disease prevention among small-scale poultry farmers in Lusaka West, Zambia.
Materials and methods: A quantitative descriptive cross-sectional study design, was used and the study was conducted in five areas of Lusaka West. Probability sampling method was utilized to select a sample size of 384 poultry farmers. Closed-ended structured questionnaires were used to collect data which was analyzed using descriptive analysis. 
Results: The study showed that the respondents had a good level of knowledge (58.8%); positive attitudes (71.1%); and positive practices (73.2%) on Newcastle disease prevention. 
Conclusion: The obtained results could be attributed to the levels of experience and fear of losing business profits due to bird mortalities as well as the level of experience most respondents had in poultry farming. This was observed by the significant association between knowledge and experience (p-value - 0.004). This calls for the promotion of awareness and knowledge on the importance of vaccination of birds as a means of prevention for Newcastle disease and enhancing Newcastle disease detection and control through rapid test kits & others.",Veterinary Medicine,7/5/2023
"Effects of High-Intensity Aerobic Interval Training on Cardiopulmonary Function in Patients With Chronic Heart Failure at The University Teaching Hospital, Lusaka, Zambia",Mikoloni Mary Musonda; Nkhata A Loveness; Goma M Fastone,"Chronic   heart   failure   patients   present   with  various  symptoms,  such  as  fatigue  and   dyspnea,   adversely   affecting their  quality  of  life.  Heart  failure  is  a  complex  disease  and  a  major  cause  of  morbidity  and  mortality  in  developed  and    developing    countries,    including    Zambia.   Through   studies   undertaken,   high-intensity  aerobic  interval  training  has  been  recommended  in  patients  with  chronic  heart  failure  to  help  improve  symptoms and, consequently, the quality of  life.  Minimal  research  pertaining  to  the  effectiveness  of  aerobic  exercise on    various    physiological    parameters    such   as   peripheral   oxygen   saturation,   cardiopulmonary capacity and quality of life have been done in Africa and Zambia. This study evaluated the physiological effects of high-intensity aerobic interval training on the cardiopulmonary function in New York Heart Association (NYHA) Class  II  and  III  chronic  heart  failure  patients with a focus on peripheral oxygen delivery/saturation,       cardiopulmonary       capacity  and  the  quality  of  life.  This  study  utilised  the  Randomised  Clinical  Trial   (RCT)   study   design,   and   the   study  population  was  selected  from  the  University     Teaching     Hospital-Heart     Clinic in Lusaka, Zambia.A   total   number   of   42   patients   participated and were randomly assigned to the two arms of the study. Twenty-one (21)  were  assigned  to  the  interventional  group  (IG)  and  21  to  the  control  group  (CG),  respectively.  The  IG  underwent  a    12-week    aerobic    HIIT    exercise-training  programme,  while  the  CG  was  subjected  to  30  minutes  of  walking  on  a  treadmill  for  the  same  period  of  12  weeks.  The  expected  primary  outcomes  were the baseline to endline differences in  oxygen  delivery/saturation  readings,  cardiopulmonary  capacity  test  readings  and the quality of life (measured using the Minnesota questionnaire) for both groups. The   results   obtained   from   the   pulse   oximeter  readings  showed  an  increase  in the oxygen saturation readings (97.90 to   98.62%),   6-minute   walk   distance   readings  (360.05  m  to  429  m)  and  the  questionnaire score totals of the different dimensions  (physical,  emotional/mental  and  socio-psychological  factors)  of  the  questionnaire   (p-value;0.0001)   of   the   IG.  The  CG  oxygen  saturation  readings  (97.38   %   to   97.90%)   and   6-minute   walk  test  scores  (359.14  to  370.9  m)  showed   minimal   change.   While   the   questionnaire scores showed a statistical difference   in   the   emotional/mental (p-value  <  0.0001),  physical  (p=0.005) and  socio-psychological  factors  (p-value  < 0.0001). High-intensity aerobic interval training has shown to improve peripheral oxygen       delivery,       cardiopulmonary       capacity  and  quality  of  life  in  chronic  heart  failure  patients;  hence,  it  must  be  considered an adjunct therapy aside from pharmacological  management  in  stable  chronic heart failure patients in Zambia.",General,8/15/2023
Evaluation of Processing Methods for Increased Utilization of Velvet Beans (Mucuna pruriens) as an Alternative Protein Supplement in Diets for Lactating Crossbred Dairy Cows Maintained on Smallholder Farms in Zambia,Joseph Simbaya; M Mwape; Oswin C. Chibinga; Silvia J. Harrison; Francisco Kanyinji,"This study aimed at  evaluating   the   processing   methods   of   velvet   beans   (Mucuna     pruriens)     as a protein supplement  in  concentrates  for  cross-bred  dairy  cows  on  smallholder  farms  in  Zambia. The beans  were  harvested  by  pulling  entire  plants  after  drying  in  the field and divided into three portions; (i) whole crop consisting of vines, pods and  grains;  (ii) unshelled  pods  only;  and  (iii) grain  only. Each  portion  was  ground  to  pass  through  a  2mm  screen  before  using  it  to  make  concentrate  for  the feeding trial. Prior to the preparation of  rations,  samples  from  each  portion  were  collected  for  the  determination  of  nutrient  composition.  Each  ration  was  fed  to  a  group  of  cross-breed  milking  cows  maintained  on  a  farm  to  monitor  performance. Chemical    composition    analysis   showed   that   shelled   grains   had  more  nutrients  than  the  pods  and  vines. Milking  cows  readily  accepted  all  the  prepared  rations  and  maintained constant milk production throughout the study period. None of the animals on the trial exhibited any sign of ill-health. This showed that velvet beans could be fed to milking  cows  by  incorporating  ground  pods   with   other   ingredients   without   adversely  affecting  animal  health  or milk production.",Agriculture Sciences,7/13/2023
Growth Performance of Kuroiler (Rhode Island Red x White Leghorn) Chickens Fed Aflatoxin Contaminated Maize-Based Diets Treated with Different Amounts of Lemon (Limon Citrus) Juice,Francisco Kanyinji; Ketty Musukwa; Joseph Simbaya; Oswin Chibinga; Sylvia J Harrison; Joyce Mufungwe,"Aflatoxin contamination in feed and feed ingredients  is  prevalent  worldwide  and  poses serious risks to both livestock and humans. This study assessed the effects of feeding Aflatoxin (AF) contaminated maize-based  diets  treated  with  varying  levels   of   lemon   juice   to   Kuroiler   chickens’  growth  performance.  Lemon  juice was extracted from fruits purchased from  the  local  market  and  mixed  with  isocaloric and isonitrogenic     diets     (starter, grower and finisher) containing AF-contaminated  maize,  at  0,  250,  500  and 750ml lemon juice/Kg of feed. The diets were left to dry for 24 hours, after which   100g   samples   were   collected   from each diet to measure and compare the  residual  AF  levels.  Then,  100  day-old  Kuroiler  chicks  were  sourced  from  a  local  hatchery  and  divided  into  four  treatment  groups  (n  =  25).  Each  group  was replicated four times. The treatment groups  were  randomly  assigned  to  0,  250,  500,  and  750ml  lemon  juice/Kg  feed–treated diets. These feeds and clean drinking  water  were  supplied  to  the birds ad libitum for 49 days. Feed intake was monitored daily, and body weights, weight gains, and feed conversion ratios were  assessed  weekly.  It  was  observed  that  the  amount  of  residual  AF  in  each  diet  depended  on  the  amount  of  lemon  juice used to treat it. The untreated diet had  the  highest  AF  levels  at  36  ppb,  followed by that which was treated with 250, 500, and 750 ml lemon juice/Kg feed at 28.1, 21.3, and 7.4 ppb, respectively. Growth performance variables assessed were  also  influenced  by  the  amounts of  residual  AF  levels  in  the  diet.  Birds  fed  diets  with  the  lowest  residual  AF  levels at 7.4 ppb had the best (p < 0.05) growth performance in all the variables, while the least (p < 0.05) was observed in  birds  fed  untreated  diet,  followed  by  those  that  were  fed  diets  treated  with  250 and 500ml Lemon juice/kg feed. It was concluded that lemon juice was able to  degrade  AF  in  diets  that  had  maize  contaminated with AF, but the extent to which it inactivated it, depended on the amount of juiced used. Similarly, growth performance of birds fed diets with AF-contaminated maize treated with lemon juice  was  also  dependent  on  the  levels  of  residual  AF  in  feeds  after  treatment,  with  the  best  performance  observed  in  chickens  fed  diets  treated  with  750ml  lemon juice per kg feed.",Agriculture Sciences,8/4/2023
"Impacts of Personal Protective Equipment Utilisation on Prevention of Coronavirus Among Healthcare Workers in Kwara State, Nigeria",Kperogi Ismaila Ibrahim; Baba Dare Abubakar; Jamiu Abdulqudus Tosin; Ologele Ibrahim; Abdulrasaq Qazeem Onaolapo; Abdullahi Muhammed Bukola,"This study examined the impact of personal protective equipment (PPE) utilisation on the prevention  of  the  coronavirus  (COVID-19)  among   healthcare   workers   (HCWs)   in   Kwara  State,  Nigeria.  Personal  protective  equipment (PPE) means personal protective equipment,  which  are  devices  designed  to  protect healthcare workers from contracting infectious   diseases   during   the   treatment   of   patients   with   the   threaded   pandemic   COVID-19 infection. These instruments can be  hand  gloves,  nose  masks,  and  protective  footwear, among others. However, the effect of  the  non-utilisation  of  these  devices  can  be  devastating,  particularly  among  HCWs  treating coronavirus   patients   because   of   its  volatile  nature  of  transmission  through  airborne  and  contacts.  This  study  aims  at  determining if HCWs perceive that utilisation of  PPE  has  effects  on  the  prevention  of Coronavirus  (COVID-19)  in  Kwara  State,  Nigeria. A  descriptive  research  design  of  the  survey  type  was  used  for  this  study.  The  instrument used was a researchers’ structured questionnaire, which was validated by three experts  in  health  education.  A  multistage  sampling  procedure  to  sample  230  HCWs  from    Kwara    State    government-owned hospitals   was   used   for   this   study.   The   instrument was then subjected to a test re-test reliability  method  and  analysed  by  Pearson  Product  Moment  Correlation  Coefficient (PPMC), which yielded 0.81r, showing that the  instrument  was  reliable  enough  for  the  study. The data collected was analysed using descriptive   statistics   of   frequency   count,   simple percentage and inferential statistics of Chi-square (χ2) at 0.05 alpha level.Results revealed that HCWs significantly perceived that utilisation of PPE has an impact on  the  prevention  of  COVID-19  in  Kwara  State,  Nigeria,  with  a  calculated  χ2  value  of  146.174, which is greater than the critical table value of 43.773.It  was  concluded  that  HCWs  perceived  that the utilisation of PPE has an impact on the prevention of COVID-19 in Kwara State, Nigeria. It was, however, recommended that the government should increase the training of HCWs through seminars and workshops. More so, the government should provide and enforce the adequate use of PPE to be used by  HCWs  against  COVID-19  infection  in  Kwara State, Nigeria.",General,8/15/2023
"Household Energy Conservation Practices used in Chalimbana Ward, Chongwe District",Alfred Chewetu; Progress H Nyanga,"Energy conservation is a subject that has continued to attract global attention as it is essential in ensuring that the growing energy demand does not pose a threat to the environment. In view of this, the current study aimed at finding out the household energy conservation practices used in Chalimbana ward of Chongwe District, Zambia. The study adopted a convergent mixed-method research design. Qualitative data from 10 purposively sampled key informants was collected through in-depth interviews using semi-structured interview guides. Additionally, quantitative data from 175 households selected through cluster sampling technique was collected using a questionnaire. The qualitative data was analysed through content analysis, whereas quantitative data was analysed through descriptive statistics and multiple linear regression. 
The study found that most households in Chalimbana ward depend on traditional biomass energy (Charcoal and firewood). Through multiple linear regression, the study found that expenditure on household energy consumption in the study area is influenced by social and economic factors such as family size, house size and education. To conserve energy, the households in this area use a variety of conservation methods, of which the most used involves switching or putting off unused household energy appliances or sources. The energy used among these households causes air pollution, habitat loss, land use change, and exposure to hazardous waste, among other environmental atrocities. While the study findings show that households in Chalimbana ward do practice energy conservation, this is not done at a substantive level that can yield sustainable environmental, economic and social benefits of household energy conservation.",General,10/16/2023
Nutritive Value of Selected Naturally Growing Dry Season Pastures in Flood Plains of Kafue River in Southern Zambia,Smart Gondwe; Oswin Chifungwe Chibinga; Francisco Kanyinji,"Wetlands are an important source of pastures for livestock forage in the dry season in arid and semi-arid regions. In this study forage samples were collected during the dry season (September to November) to evaluate the nutritive value for potential to supply livestock requirements during dry season under the transhumance system of livestock production in the Kafue Flood Plains in Mazabuka district of  Southern Province. The frequency, height and cover of the grass species in upper and lower parts of the grazing area were measured. Proximate components, fibre fractions and in vitro dry matter digestibility were determined using standard laboratory procedures. The grass species found in the upper land were Acroceras macrum, and Vetiveria nigritana at the frequency of 60 and 56 percent, respectively. Panicum repens, Polygonum spp and Cyperus papyrus are the grass species that were found in the lower area at a frequency of 44, 52 and 80 percent. Ground cover was 69 and 100 % for upper and lower area, respectively. The Crude Protein was significantly different among the species Vetiveria nigritana (7.90%) and Polygonum salicifolium (8.46 %), Cyperus papyrus (6.12%) and were also higher than for Panicum repens (3.37%) and Acroceras macrum (3.32%) (p ˂ 0.05). Crude fiber ranged from 12.8% (Polygonum salicifolium) to 34.6% (Vetiveria nigritana).   Polygonum salicifolium had higher in vitro dry matter digestibility (INVDMD) (50.8%) followed by Vetiveria nigritana (46.4%), Cyperus papyrus (44.5%), Panicum repens (39.9%) and Acroceras macrum (39.7%) at (p ˂ 0.05). These results clearly shown that the some of the grass species of the Kafue flat have good nutrition content and therefore are a good source of nutrition for ruminants in the dry season",Agriculture Sciences,10/27/2023
"Cytopathology of Extragenital Transmissible Venereal Tumour in a Dog in Lusaka, Zambia",Girja Shanker Pandey; Careen Hankanga; Farai Phiri; Mercy Mfula Chipolo; Racheal Mwenda; Noanga Mebelo,"Transmissible Venereal Tumour (TVT), a round cell tumour probably originating from genetic alteration of canine histiocytes, is a horizontally and sexually transmitted disease that affects dogs and other canids. There is no published report on extragenital TVT among dogs in Zambia. The present case reports the cytopathology and haemato-biochemistry of an extragenital TVT, without primary genital involvement in a 4-year-old male dog in Lusaka, Zambia. There were a total of 18 cutaneous immobile nodules ranging in size from 25 to 57 mm on the dorsal and ventral aspects of the body, and no ulceration or bleeding was observed. Haemato-biochemistry revealed anaemia, thrombocytopaenia, hyperproteinaemia, increased blood creatinine and urea nitrogen. Based on cytology, TVT of the lymphoid subtype was diagnosed, ruling out suspicion of cutaneous lymphoma or histiocytoma. Definitive diagnosis was easily based on physical examination and cytological findings of typical TVT cells in exfoliated cells through FNAC, which is a rapid, reliable, efficient, cost-favourable and more conclusive hastening intervention than waiting for histopathology. Our findings emphasise the need to consider TVT on the differential diagnosis list for masses in extragenital sites in dogs from geographic regions where TVT is prevalent.",Veterinary Medicine,11/24/2023
Coronavirus Disease of 2019 (COVID-19) and Household Food Security in High-Density Residential Areas of Lusaka: Experiences from Ng’ombe Settlement,Lizzy Michelo; Progress Nyanga; Banda Alick,"Comparable to the rest of the world, African countries are orbiting from the health, economic and social effects of COVID-19. The continent’s administrations responded to COVID-19 guidelines by imposing restrictions to limit the spread of the virus. COVID-19 and measures responses to the pandemic, undermine food production, processing and marketing, but the most concerning experiences are on the demand-side, economic and physical access to food. Food and Agriculture Organisation’s (FAO) ‘four pillars’ availability, accessibility, stability and utilisation provide a complete framework for analysing food security. However, the paper was looking at how people in high-density residential areas are experiencing food security during the COVID-19 period. The main aim was to assess the experiences of residents of high-density urban residential areas of Lusaka in terms of household food security before and during the COVID-19 pandemic era. The study used the convergent research design. Structured interviews were used to collect data from the respondents using questionnaires administered to a sample of 235 Ng’ombe residents. Key informants were selected purposively from Ng’ombe Urban Health Centre, Ng’ombe Catholic Church, the Food and Agriculture Organisation (FAO), the Ministry of Agriculture and the World Food Programme (WFP) officials. Data was collected using semi-structured interviews with a tool called an interview guide. The data was analysed using descriptive statistics, paired t-test and chi-square using R statistical computing software and Excel. The results were presented using tables, pie charts and graphs. The study revealed that Ng’ombe residents had a devastating experience during the COVID-19 era, which included a reduction in income, hunger, job losses, skipped or reduced meal sizes and compromised diet. Also, pinpointing areas for governments and other actors to intervene in the food system to protect the food security of households left vulnerable by COVID-19, for example, empowering the affected households with money for businesses and job creation.",General,11/8/2023
